axis,model,steps,dt,replications,parameter,truth,mean_estimate,bias,relative_bias,spread,root_mean_square_error,bias_standard_error,bias_in_standard_errors
grid_refinement,diffusion,100,0.1,400,drift,0.4,0.406518,0.006518,0.016296,0.231813,0.231904,0.011591,0.562
grid_refinement,diffusion,100,0.1,400,volatility,0.8,0.788818,-0.011182,-0.013977,0.055246,0.056367,0.002762,-4.048
grid_refinement,diffusion,200,0.05,400,drift,0.4,0.388051,-0.011949,-0.029872,0.247693,0.247981,0.012385,-0.965
grid_refinement,diffusion,200,0.05,400,volatility,0.8,0.795539,-0.004461,-0.005576,0.037765,0.038027,0.001888,-2.363
grid_refinement,diffusion,400,0.025,400,drift,0.4,0.374545,-0.025455,-0.063637,0.256489,0.257749,0.012824,-1.985
grid_refinement,diffusion,400,0.025,400,volatility,0.8,0.797564,-0.002436,-0.003045,0.028548,0.028651,0.001427,-1.706
grid_refinement,diffusion,800,0.0125,400,drift,0.4,0.373004,-0.026996,-0.067491,0.269234,0.270584,0.013462,-2.005
grid_refinement,diffusion,800,0.0125,400,volatility,0.8,0.798573,-0.001427,-0.001783,0.020387,0.020437,0.001019,-1.4
grid_refinement,diffusion,1600,0.00625,400,drift,0.4,0.388585,-0.011415,-0.028536,0.245955,0.24622,0.012298,-0.928
grid_refinement,diffusion,1600,0.00625,400,volatility,0.8,0.799064,-0.000936,-0.00117,0.015013,0.015042,0.000751,-1.247
grid_refinement,diffusion,3200,0.003125,400,drift,0.4,0.405002,0.005002,0.012504,0.245265,0.245316,0.012263,0.408
grid_refinement,diffusion,3200,0.003125,400,volatility,0.8,0.799774,-0.000226,-0.000282,0.010737,0.010739,0.000537,-0.421
grid_refinement,ornstein_uhlenbeck,100,0.1,400,reversion_rate,1.5,1.726566,0.226566,0.151044,0.581247,0.623844,0.029062,7.796
grid_refinement,ornstein_uhlenbeck,100,0.1,400,level,0.7,0.699231,-0.000769,-0.001099,0.117422,0.117425,0.005871,-0.131
grid_refinement,ornstein_uhlenbeck,100,0.1,400,volatility,0.6,0.546502,-0.053498,-0.089164,0.038414,0.065861,0.001921,-27.854
grid_refinement,ornstein_uhlenbeck,200,0.05,400,reversion_rate,1.5,1.837968,0.337968,0.225312,0.618528,0.70484,0.030926,10.928
grid_refinement,ornstein_uhlenbeck,200,0.05,400,level,0.7,0.688483,-0.011517,-0.016453,0.125827,0.126353,0.006291,-1.831
grid_refinement,ornstein_uhlenbeck,200,0.05,400,volatility,0.6,0.573107,-0.026893,-0.044822,0.027486,0.038454,0.001374,-19.568
